"ppt" "error" "setsize"
"63" 1 0.383972435438753 3
"64" 1 0.034906585039887 2
"65" 1 -0.698131700797732 6
"66" 1 0 6
"67" 1 0.0349065850398862 1
"68" 1 0.0698131700797728 6
"69" 1 -0.418879020478639 1
"70" 1 0 3
"71" 1 0.0698131700797733 3
"72" 1 1.08210413623648 3
"73" 1 2.82743338823081 6
"74" 1 -0.0698131700797733 3
"75" 1 -0.174532925199433 1
"76" 1 -0.279252680319093 1
"77" 1 0.244346095279206 2
"78" 1 0.0698131700797733 1
"79" 1 -0.488692190558412 3
"80" 1 2.47836753783195 6
"81" 1 0.139626340159547 3
"82" 1 -0.244346095279206 2
"83" 1 0.20943951023932 2
"84" 1 -0.31415926535898 1
"85" 1 -0.523598775598299 3
"86" 1 0.0698131700797728 3
"87" 1 0.174532925199434 3
"88" 1 0.698131700797732 2
"89" 1 -0.20943951023932 2
"90" 1 0.174532925199433 6
"91" 1 -0.593411945678072 6
"92" 1 0.0698131700797731 2
"93" 1 -0.802851455917392 3
"94" 1 -1.01229096615671 6
"95" 1 -2.72271363311115 3
"96" 1 0 3
"97" 1 -0.174532925199433 2
"98" 1 0.139626340159547 2
"99" 1 0.314159265358979 6
"100" 1 0.418879020478639 6
"101" 1 2.8623399732707 6
"102" 1 0.10471975511966 2
"103" 1 0.20943951023932 3
"104" 1 -0.104719755119659 6
"105" 1 0.383972435438752 3
"106" 1 -1.22173047639603 2
"107" 1 -0.20943951023932 2
"108" 1 1.43116998663535 6
"109" 1 0.279252680319093 2
"110" 1 2.8623399732707 6
"111" 1 0.139626340159546 1
"112" 1 0.244346095279206 3
"113" 1 -0.20943951023932 1
"114" 1 -0.279252680319093 3
"115" 1 0.209439510239319 1
"116" 1 -0.453785605518525 2
"117" 1 -0.174532925199433 3
"118" 1 -0.0698131700797741 3
"119" 1 -1.2915436464758 6
"120" 1 -1.5707963267949 6
"121" 1 0.0698131700797733 3
"122" 1 -0.0349065850398867 1
"123" 1 -1.32645023151569 3
"124" 1 -0.20943951023932 1
"125" 1 -0.767944870877505 3
"126" 1 0.10471975511966 1
"127" 1 0.0698131700797723 3
"128" 1 0.174532925199433 1
"129" 1 0.31415926535898 2
"130" 1 -1.74532925199433 2
"131" 1 -0.593411945678071 3
"132" 1 0.907571211037051 2
"133" 1 0.558505360638185 6
"134" 1 -0.453785605518526 1
"135" 1 0.0349065850398861 1
"136" 1 -0.0698131700797733 1
"137" 1 0.872664625997165 3
"138" 1 -2.12930168743308 6
"139" 1 -0.209439510239319 2
"140" 1 0 1
"141" 1 2.68780704807127 6
"142" 1 -0.20943951023932 6
"143" 1 0.0698131700797733 3
"144" 1 -0.139626340159547 3
"145" 1 -0.139626340159546 6
"146" 1 -2.37364778271229 6
"147" 1 -0.174532925199433 2
"148" 1 0.802851455917391 6
"149" 1 0 1
"150" 1 -0.0349065850398862 1
"151" 1 -0.31415926535898 2
"152" 1 0.0349065850398866 3
"153" 1 1.32645023151569 6
"154" 1 -0.523598775598299 2
"155" 1 0.139626340159547 6
"156" 1 2.0943951023932 6
"157" 1 -1.08210413623648 6
"158" 1 -0.244346095279206 2
"159" 1 0.0349065850398867 2
"160" 1 -0.349065850398866 6
"161" 1 -0.593411945678072 3
"162" 1 0.174532925199433 1
"163" 1 -1.11701072127637 3
"164" 1 0.383972435438753 2
"165" 1 -0.0698131700797732 3
"166" 1 0.139626340159547 2
"167" 1 0.453785605518525 3
"168" 1 0.244346095279206 1
"169" 1 0 6
"170" 1 -0.488692190558413 6
"171" 1 -1.85004900711399 3
"172" 1 0.837758040957279 3
"173" 1 0.733038285837619 3
"174" 1 -0.10471975511966 6
"175" 1 0.488692190558413 3
"176" 1 0.523598775598299 6
"177" 1 -0.733038285837619 2
"178" 1 0.593411945678072 6
"179" 1 0.174532925199433 3
"180" 1 -1.2915436464758 3
"181" 1 -0.523598775598299 3
"182" 1 0.314159265358979 3
"183" 1 -0.488692190558413 2
"184" 1 0.0698131700797733 3
"185" 1 -0.20943951023932 2
"186" 1 -0.10471975511966 1
"187" 1 -0.139626340159547 1
"188" 1 -1.67551608191456 3
"189" 1 -0.418879020478639 1
"190" 1 0.0349065850398866 1
"191" 1 -0.139626340159546 2
"192" 1 -0.139626340159547 1
"193" 1 -0.698131700797732 3
"194" 1 -0.244346095279206 1
"195" 1 1.50098315671512 6
"196" 1 -0.209439510239319 1
"197" 1 0.20943951023932 2
"198" 1 -1.67551608191456 3
"199" 1 0.0349065850398862 6
"200" 1 -1.39626340159546 2
