"ppt" "prch" "N" "ischange" "respchange" "ntrials"
"248" 14 0.7 2 1 41 42
"249" 14 0.7 5 0 5 18
"250" 14 0.7 5 1 40 42
"251" 14 0.7 8 0 8 18
"252" 14 0.7 8 1 40 42
"253" 15 0.3 2 0 2 42
"254" 15 0.3 2 1 16 18
"255" 15 0.3 5 0 3 42
"256" 15 0.3 5 1 16 18
"257" 15 0.3 8 0 8 42
"258" 15 0.3 8 1 12 18
"259" 15 0.5 2 0 3 30
"260" 15 0.5 2 1 28 30
"261" 15 0.5 5 0 4 30
"262" 15 0.5 5 1 24 30
"263" 15 0.5 8 0 10 30
"264" 15 0.5 8 1 27 30
"265" 15 0.7 2 0 2 18
"266" 15 0.7 2 1 41 42
"267" 15 0.7 5 0 2 18
"268" 15 0.7 5 1 40 42
"269" 15 0.7 8 0 7 18
"270" 15 0.7 8 1 39 42
"271" 16 0.3 2 0 0 42
"272" 16 0.3 2 1 17 18
"273" 16 0.3 5 0 6 42
"274" 16 0.3 5 1 16 18
"275" 16 0.3 8 0 8 42
"276" 16 0.3 8 1 9 18
"277" 16 0.5 2 0 0 30
"278" 16 0.5 2 1 30 30
"279" 16 0.5 5 0 7 30
"280" 16 0.5 5 1 25 30
"281" 16 0.5 8 0 10 30
"282" 16 0.5 8 1 18 30
"283" 16 0.7 2 0 1 18
"284" 16 0.7 2 1 41 42
"285" 16 0.7 5 0 4 18
"286" 16 0.7 5 1 37 42
"287" 16 0.7 8 0 11 18
"288" 16 0.7 8 1 34 42
"289" 17 0.3 2 0 0 42
"290" 17 0.3 2 1 18 18
"291" 17 0.3 5 0 1 42
"292" 17 0.3 5 1 16 18
"293" 17 0.3 8 0 12 42
"294" 17 0.3 8 1 16 18
"295" 17 0.5 2 0 2 30
"296" 17 0.5 2 1 30 30
"297" 17 0.5 5 0 6 30
"298" 17 0.5 5 1 29 30
"299" 17 0.5 8 0 10 30
"300" 17 0.5 8 1 28 30
"301" 17 0.7 2 0 1 18
"302" 17 0.7 2 1 42 42
"303" 17 0.7 5 0 0 18
"304" 17 0.7 5 1 41 42
"305" 17 0.7 8 0 3 18
"306" 17 0.7 8 1 37 42
"307" 18 0.3 2 0 2 42
"308" 18 0.3 2 1 17 18
"309" 18 0.3 5 0 18 42
"310" 18 0.3 5 1 11 18
"311" 18 0.3 8 0 18 42
"312" 18 0.3 8 1 6 18
"313" 18 0.5 2 0 2 30
"314" 18 0.5 2 1 29 30
"315" 18 0.5 5 0 12 30
"316" 18 0.5 5 1 23 30
"317" 18 0.5 8 0 14 30
"318" 18 0.5 8 1 21 30
"319" 18 0.7 2 0 0 18
"320" 18 0.7 2 1 41 42
"321" 18 0.7 5 0 12 18
"322" 18 0.7 5 1 32 42
"323" 18 0.7 8 0 9 18
"324" 18 0.7 8 1 32 42
"325" 19 0.3 2 0 14 42
"326" 19 0.3 2 1 12 18
"327" 19 0.3 5 0 17 42
"328" 19 0.3 5 1 12 18
"329" 19 0.3 8 0 24 42
"330" 19 0.3 8 1 10 18
"331" 19 0.5 2 0 9 30
"332" 19 0.5 2 1 26 30
"333" 19 0.5 5 0 12 30
"334" 19 0.5 5 1 27 30
"335" 19 0.5 8 0 17 30
"336" 19 0.5 8 1 25 30
"337" 19 0.7 2 0 5 18
"338" 19 0.7 2 1 41 42
"339" 19 0.7 5 0 12 18
"340" 19 0.7 5 1 36 42
"341" 19 0.7 8 0 14 18
"342" 19 0.7 8 1 37 42
"343" 20 0.3 2 0 0 42
"344" 20 0.3 2 1 17 18
"345" 20 0.3 5 0 5 42
"346" 20 0.3 5 1 18 18
"347" 20 0.3 8 0 10 42
"348" 20 0.3 8 1 18 18
"349" 20 0.5 2 0 0 30
"350" 20 0.5 2 1 30 30
"351" 20 0.5 5 0 3 30
"352" 20 0.5 5 1 29 30
"353" 20 0.5 8 0 5 30
"354" 20 0.5 8 1 29 30
"355" 20 0.7 2 0 3 18
"356" 20 0.7 2 1 42 42
"357" 20 0.7 5 0 3 18
"358" 20 0.7 5 1 41 42
"359" 20 0.7 8 0 5 18
"360" 20 0.7 8 1 35 42
"361" 21 0.3 2 0 2 42
"362" 21 0.3 2 1 17 18
"363" 21 0.3 5 0 7 42
"364" 21 0.3 5 1 17 18
"365" 21 0.3 8 0 16 42
"366" 21 0.3 8 1 13 18
"367" 21 0.5 2 0 1 30
"368" 21 0.5 2 1 29 30
